disease,description,success
lactose intolerance,"lactose intolerance, a digestive condition caused by reduced lactase production that hinders the breakdown of lactose in dairy products and leads to gastrointestinal discomfort.",True
skin cancer,"skin cancer, the most common form of cancer, is characterized by the uncontrolled growth of abnormal skin cells—including subtypes like basal cell carcinoma, squamous cell carcinoma, and melanoma—often linked to prolonged UV exposure.",True
carcinoma,"carcinoma, a common type of cancer that originates in the epithelial cells lining organs, skin, and internal passageways.",True
contagious pustular dermatitis,"contagious pustular dermatitis, a zoonotic viral infection caused by a parapoxvirus that primarily affects sheep and goats by producing proliferative lesions on the lips, gums, and hoof areas which progress from vesicles to pustules and scabs.",True
Langerhans cell histiocytosis,"Langerhans cell histiocytosis, a rare disorder characterized by abnormal proliferation of immune cells that form granulomatous lesions and cause inflammatory damage and tumors in multiple organs.",True
herpes zoster,"herpes zoster, a viral infection caused by reactivation of the varicella-zoster virus that leads to a painful, blistering rash typically appearing on one side of the body.",True
male infertility with teratozoospermia due to single gene mutation,"male infertility with teratozoospermia due to single gene mutation, is a rare genetic condition characterized by the presence of over 85% abnormally shaped sperm—including forms like macrozoospermia and globozoospermia—resulting from a mutation in a single gene.",True
dyspepsia,"dyspepsia, a condition characterized by upper abdominal discomfort including pain, bloating, and nausea that can result from various factors such as lifestyle choices, dietary habits, or underlying medical issues.",True
anemia (disease),"anemia (disease), a condition characterized by a decrease in red blood cells or hemoglobin—often due to nutritional deficiencies, chronic inflammation, or underlying illnesses—that leads to symptoms such as fatigue, weakness, and shortness of breath.",True
familial Mediterranean fever,"familial Mediterranean fever, an inherited autoinflammatory disorder characterized by recurrent episodes of fever and painful inflammation of the abdominal, chest, and joint serosal membranes.",True
Duchenne and Becker muscular dystrophy,"Duchenne and Becker muscular dystrophy, X-linked recessive disorders caused by mutations in the dystrophin gene that lead to progressive skeletal and heart muscle degeneration—with Duchenne exhibiting earlier onset and more rapid progression than the milder, later-onset Becker form.",True
penile neoplasm,"penile neoplasm, a cancer originating in the skin or tissues of the penis—most commonly squamous cell carcinoma—that is typically more treatable when detected early through noticeable skin changes or lesions.",True
Mowat-Wilson syndrome due to a ZEB2 point mutation,"Mowat-Wilson syndrome due to a ZEB2 point mutation, is a rare neurodevelopmental disorder caused by de novo heterozygous loss-of-function mutations in the ZEB2 gene, characterized by distinctive facial features, intellectual disability, and multiple congenital anomalies including Hirschsprung disease.",True
head and neck neoplasm,"head and neck neoplasm, a term for cancers that develop in areas such as the mouth, throat, sinuses, and salivary glands, often forming tumors that can invade nearby tissues and eventually spread to other body parts.",True
adenocarcinoma of penis,"adenocarcinoma of penis, a rare malignant neoplasm that accounts for less than 5% of penile cancers and arises from glandular epithelial cells—often from sweat glands—mimicking Paget disease of the penis.",True
central diabetes insipidus,"central diabetes insipidus, a rare condition caused by insufficient production or release of antidiuretic hormone from the brain leading to excessive urination and thirst.",True
Campylobacter fetus infectious disease,"Campylobacter fetus infectious disease, a rare bacterial infection that typically causes gastrointestinal symptoms and severe systemic illnesses such as bacteremia and meningitis in immunocompromised, elderly, or animal-exposed individuals, often necessitating prompt antibiotic treatment to reduce its considerable mortality risk.",True
West syndrome,"West syndrome, a rare infantile epileptic disorder characterized by seizure spasms, abnormal EEG patterns, and developmental impairment often linked to brain damage.",True
sick sinus syndrome,"sick sinus syndrome, a condition in which the heart’s natural pacemaker malfunctions, leading to slow, fast, or irregular heart rhythms that can require pacemaker treatment.",True
vertebrobasilar insufficiency,"vertebrobasilar insufficiency, a condition characterized by reduced blood flow in the brain's posterior circulation—typically due to arterial plaque buildup—resulting in neurological symptoms such as dizziness and stroke-like events.",True
obstructive hydrocephalus,"obstructive hydrocephalus, a neurological condition caused by a blockage in the cerebrospinal fluid pathways within the brain's ventricles that increases intracranial pressure and may lead to tissue damage.",True
anaphylaxis,"anaphylaxis, a life-threatening allergic reaction that develops rapidly after exposure to an allergen and affects multiple organ systems, requiring immediate medical intervention.",True
methemoglobinemia,"methemoglobinemia, a blood disorder characterized by increased levels of oxidized hemoglobin that cannot effectively carry oxygen, results in reduced oxygen delivery to tissues and may be either inherited or acquired through exposure to certain drugs or chemicals.",True
Norwegian scabies,"Norwegian scabies, a severe form of scabies characterized by a massive infestation of Sarcoptes scabiei mites that produce thick, crusted skin lesions and high contagiousness, primarily affecting immunocompromised or debilitated individuals.",True
adenine phosphoribosyltransferase deficiency,"adenine phosphoribosyltransferase deficiency, a rare autosomal recessive metabolic disorder caused by APRT gene mutations that leads to the excessive production and renal excretion of 2,8-dihydroxyadenine, resulting in kidney stone formation, crystal-induced kidney damage, and potential acute and chronic kidney injury.",True
