disease,count,top1_disease,top2_disease,top3_disease,top4_disease,top5_disease,top1_mesh,top2_mesh,top3_mesh,top4_mesh,top5_mesh
Heterotopic Ossification,1,"Pregnancy, Heterotopic",Periventricular Nodular Heterotopia,Ossification of Posterior Longitudinal Ligament,Classical Lissencephalies and Subcortical Band Heterotopias,Osteochondrodysplasias,D063192,D054091,D017887,D054221,D010009
Lowe Syndrome,1,Lown-Ganong-Levine Syndrome,Coffin-Lowry Syndrome,Low Anterior Resection Syndrome,Syndrome,Low Back Pain,D008151,D038921,D000094123,D013577,D017116
Blastic Plasmacytoid Dendritic Cell Neoplasm (Bpdcn),1,Pulmonary Blastoma,Plasmablastic Lymphoma,Plasmacytoma,"Plasma Cell Granuloma, Pulmonary",Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,D018202,D000069293,D010954,D016726,D015452
Optic Neuritis,1,Optic Nerve Glioma,"Optic Neuropathy, Ischemic",Neuromyelitis Optica,Toxic Optic Neuropathy,Optic Nerve Hypoplasia,D020339,D018917,D009471,D000081028,D000080344
Mitral Regurgitation,1,Mitral Valve Insufficiency,Mitral Valve Prolapse,Mitral Valve Stenosis,Tricuspid Valve Insufficiency,Tricuspid Valve Stenosis,D008944,D008945,D008946,D014262,D014264
Peripheral T-Cell Lymphoma; Not Otherwise Specified,1,"Lymphoma, T-Cell, Peripheral","Lymphoma, B-Cell, Marginal Zone","Lymphoma, Extranodal NK-T-Cell","Leukemia-Lymphoma, Adult T-Cell","Leukemia, Prolymphocytic, T-Cell",D016411,D018442,D054391,D015459,D015461
Atrophy of testis,1,Gyrate Atrophy,Geographic Atrophy,"Optic Atrophy, Autosomal Dominant","46, XX Testicular Disorders of Sex Development",Multiple System Atrophy,D015799,D057092,D029241,D058531,D019578
Pancreatitis,1,"Pancreatitis, Alcoholic",Autoimmune Pancreatitis,"Pancreatitis, Graft","Pancreatitis, Acute Necrotizing","Pancreatitis, Acute Hemorrhagic",D019512,D000081012,D055589,D019283,D000081032
Achalasia,1,Esophageal Achalasia,Achlorhydria,Asthenia,Esophageal Stenosis,CADASIL,D004931,D000126,D001247,D004940,D046589
Diabetic Vascular Disorder,1,Vascular Depression,Diabetic Cardiomyopathies,Diabetic Neuropathies,Diabetic Retinopathy,Diabetic Foot,D000088323,D058065,D003929,D003930,D017719
Aldh18A1 Mutations,1,Trisomy 18 Syndrome,Alexander Disease,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,Homozygous Familial Hypercholesterolemia,"Hypoadrenocorticism, Familial",D000073842,D038261,D054069,D000090542,D000075262
Oligoarticular Juvenile Idiopathic Arthritis,1,"Arthritis, Juvenile",Oligohydramnios,"Arthritis, Reactive","Arthritis, Experimental","Arthritis, Psoriatic",D001171,D016104,D016918,D001169,D015535
Myocardial Fibrosis,1,Endomyocardial Fibrosis,Pulmonary Fibrosis,Retroperitoneal Fibrosis,Peritoneal Fibrosis,Cardiac Papillary Fibroelastoma,D004719,D011658,D012185,D056627,D000084122
Grover's Disease,1,Mikulicz' Disease,Machado-Joseph Disease,Moyamoya Disease,Bowen's Disease,Thalamic Diseases,D008882,D017827,D009072,D001913,D013786
Glottic Carcinoma,1,Glomus Jugulare Tumor,Glomus Tumor,Tracheal Neoplasms,Laryngeal Neoplasms,Nasopharyngeal Carcinoma,D005925,D005918,D014134,D007822,D000077274
Mitral Valve Prolapse,1,Mitral Valve Prolapse,Mitral Valve Insufficiency,Mitral Valve Stenosis,Rectal Prolapse,Uterine Prolapse,D008945,D008944,D008946,D012005,D014596
Idiopathic Pulmonary Fibrosis;Non-Specific Interstitial Pneumonia,1,Pulmonary Fibrosis,"Pneumonia, Pneumocystis","Sarcoidosis, Pulmonary",Pulmonary Emphysema,"Pneumonia, Necrotizing",D011658,D011020,D017565,D011656,D000071067
Esophageal Small Cell Carcinoma,1,Esophageal Squamous Cell Carcinoma,Small Cell Lung Carcinoma,"Carcinoma, Small Cell","Carcinoma, Non-Small-Cell Lung","Sarcoma, Small Cell",D000077277,D055752,D018288,D002289,D018228
Alopecia Areata,1,Alopecia Areata,Geographic Atrophy,Acrodermatitis,Azoospermia,Androgen-Insensitivity Syndrome,D000506,D057092,D000169,D053713,D013734
Secondary Glioma,1,"Glioma, Subependymal",Glioblastoma,"Neoplasms, Second Primary",Gliosarcoma,"Dentin, Secondary",D018315,D005909,D016609,D018316,D003809
Opioid Use Disorder,1,Opioid-Induced Constipation,Opiate Overdose,Tobacco Use Disorder,Morphine Dependence,Heroin Dependence,D000079689,D000083682,D014029,D009021,D006556
Chronic Cutaneous Lupus Erythematosus,1,Erythema Chronicum Migrans,"Candidiasis, Chronic Mucocutaneous","Panniculitis, Lupus Erythematosus","Leishmaniasis, Diffuse Cutaneous","Candidiasis, Cutaneous",D015787,D002178,D015435,D016774,D002179
Pnsc-Derived Subcutaneous Tumors,1,Pituitary Neoplasms,Palatal Neoplasms,Penile Neoplasms,Hypopharyngeal Neoplasms,Parotid Neoplasms,D010911,D010157,D010412,D007012,D010307
Arthritis-Associated Interstitial Diseases,1,"Arthritis, Juvenile","Arthritis, Reactive","Arthritis, Gouty","Arthritis, Experimental","Arthritis, Psoriatic",D001171,D016918,D015210,D001169,D015535
Supraglottic Carcinoma,1,Supraglottitis,Squamous Cell Carcinoma of Head and Neck,Esophageal Squamous Cell Carcinoma,Laryngeal Neoplasms,Nasopharyngeal Carcinoma,D059525,D000077195,D000077277,D007822,D000077274
Transglottic Carcinoma,1,Esophageal Squamous Cell Carcinoma,"Carcinoma, Transitional Cell",Nasopharyngeal Carcinoma,Laryngeal Neoplasms,Squamous Cell Carcinoma of Head and Neck,D000077277,D002295,D000077274,D007822,D000077195
Malignant Tumor of Floor of Mouth,1,Mucoepidermoid Tumor,"Carcinoma, Mucoepidermoid","Mixed Tumor, Malignant",Mandibular Neoplasms,Malignant Catarrh,D018298,D018277,D018198,D008339,D008304
Carcinoma of The Retromolar Trigonu,1,"Carcinoma, Transitional Cell","Carcinoma, Mucoepidermoid",Phyllodes Tumor,"Carcinoma, Lobular",Orbital Neoplasms,D002295,D018277,D003557,D018275,D009918
Pharyngeal Carcinoma,1,Nasopharyngeal Carcinoma,Palatal Neoplasms,Hypopharyngeal Neoplasms,Laryngeal Neoplasms,Parotid Neoplasms,D000077274,D010157,D007012,D007822,D010307
Soft Palate Carcinoma,1,Nasopharyngeal Carcinoma,Palatal Neoplasms,Hypopharyngeal Neoplasms,Squamous Cell Carcinoma of Head and Neck,Esophageal Squamous Cell Carcinoma,D000077274,D010157,D007012,D000077195,D000077277
Multiple Symmetric Lipomatosis,1,"Lipomatosis, Multiple Symmetrical",Familial Multiple Lipomatosis,Multiple Pulmonary Nodules,"Fractures, Multiple",Multiple Acyl Coenzyme A Dehydrogenase Deficiency,D008069,D000071070,D055613,D000069076,D054069
Obesity;Stroke,1,"Obesity, Abdominal",Obesity Hypoventilation Syndrome,"Obesity, Morbid","Obesity, Maternal","Obesity, Metabolically Benign",D056128,D010845,D009767,D000079262,D000067329
Endocrine Tumor,1,Pituitary Neoplasms,Multiple Endocrine Neoplasia Type 2b,Multiple Endocrine Neoplasia Type 1,Multiple Endocrine Neoplasia Type 2a,Adenomatoid Tumor,D010911,D018814,D018761,D018813,D018254
Idiopathic Parkinsonism Or Parkinson's Disease,1,Parkinson Disease,"Parkinson Disease, Postencephalitic",Idiopathic Hypersomnia,Synucleinopathies,"Dyskinesia, Drug-Induced",D010300,D010301,D020177,D000080874,D004409
Tendon Injury,1,Rotator Cuff Injuries,Athletic Injuries,Whiplash Injuries,Anterior Cruciate Ligament Injuries,Posterior Tibial Tendon Dysfunction,D000070636,D001265,D014911,D000070598,D037081
Childhood Gliosarcoma,1,Gliosarcoma,Gliosis,Ganglioglioma,"Rhabdomyosarcoma, Embryonal",Glioblastoma,D018316,D005911,D018303,D018233,D005909
Tangier Disease,1,Tangier Disease,Meniere Disease,Darier Disease,Leigh Disease,Alexander Disease,D013631,D008575,D007644,D007888,D038261
ICF-specific DNMT3B dysfunction,1,Severe Combined Immunodeficiency,Congenital Bone Marrow Failure Syndromes,Riboflavin Deficiency,Hyper-IgM Immunodeficiency Syndrome,Focal Dermal Hypoplasia,D016511,D000080984,D012257,D053306,D005489
Gastroesophageal Junction Adenocarcinoma,1,Stomach Neoplasms,"Esophagitis, Peptic","Adenocarcinoma, Bronchiolo-Alveolar",Jejunal Neoplasms,Anal Gland Neoplasms,D013274,D004942,D002282,D007580,D000694
Hirschsprung Disease,1,Hirschsprung Disease,Hartnup Disease,Hirsutism,Celiac Disease,Huntington Disease,D006627,D006250,D006628,D002446,D006816
Congenital Pseudoarthrosis of The Limbs,1,"Hip Dislocation, Congenital",Congenital Bone Marrow Failure Syndromes,Leber Congenital Amaurosis,Developmental Dysplasia of the Hip,"Hand Deformities, Congenital",D006618,D000080984,D057130,D000082602,D006228
Double Hit Lymphoma,1,Composite Lymphoma,"Lymphoma, Extranodal NK-T-Cell",Double Outlet Right Ventricle,"Lymphoma, AIDS-Related",HTLV-II Infections,D058617,D054391,D004310,D016483,D015491
Usual Interstitial Pneumonia,1,"Pneumonia, Pneumocystis",Pulmonary Emphysema,"Pneumonia, Necrotizing","Pregnancy, Interstitial",Chlamydial Pneumonia,D011020,D011656,D000071067,D065167,D061387
Autoimmune Pulmonary Alveolar Proteinosis,1,Pulmonary Alveolar Proteinosis,Pulmonary Emphysema,Autoimmune Lymphoproliferative Syndrome,Autoimmune Pancreatitis,Pulmonary Fibrosis,D011649,D011656,D056735,D000081012,D011658
Primary Carcinoma,1,Nasopharyngeal Carcinoma,"Carcinoma, Pancreatic Ductal","Carcinoma, Papillary","Carcinoma, Ductal, Breast","Neoplasms, Second Primary",D000077274,D021441,D002291,D018270,D016609
Childhood Onset,1,Late Onset Disorders,"Still's Disease, Adult-Onset",Spinal Muscular Atrophies of Childhood,Pediatric Obesity,"Arthritis, Juvenile",D000067562,D016706,D014897,D063766,D001171
Severe Fever With Thrombocytopenia Syndrome Banyangvirus,1,Severe Fever with Thrombocytopenia Syndrome,Severe Dengue,Hantavirus Pulmonary Syndrome,Hemorrhagic Fever with Renal Syndrome,Renal Nutcracker Syndrome,D000085142,D019595,D018804,D006480,D059228
Unipolar Depression,1,Uniparental Disomy,"Depression, Postpartum",Vascular Depression,Microvascular Angina,Dyspareunia,D024182,D019052,D000088323,D017566,D004414
Colorectal Tumor,1,"Colorectal Neoplasms, Hereditary Nonpolyposis",Jejunal Neoplasms,Sigmoid Neoplasms,Colonic Polyps,Gastrointestinal Stromal Tumors,D003123,D007580,D012811,D003111,D046152
Koolen De Vries Syndrome,1,Kounis Syndrome,Pierre Robin Syndrome,Loeys-Dietz Syndrome,Netherton Syndrome,Peutz-Jeghers Syndrome,D000074962,D010855,D055947,D056770,D010580
Ruptured Aneurysm,1,Aortic Rupture,Intracranial Aneurysm,"Aneurysm, Infected",Heart Aneurysm,Coronary Aneurysm,D001019,D002532,D000785,D006322,D003323
Sporadic Basal-Like Cancers,1,Basal Cell Nevus Syndrome,"Colorectal Neoplasms, Hereditary Nonpolyposis",Buschke-Lowenstein Tumor,Sweat Gland Neoplasms,Bronchial Neoplasms,D001478,D003123,D062688,D013544,D001984
Invasive Ductal Carcinoma,1,"Carcinoma, Ductal, Breast","Carcinoma, Pancreatic Ductal",Breast Carcinoma In Situ,"Carcinoma, Lobular","Carcinoma, Intraductal, Noninfiltrating",D018270,D021441,D000071960,D018275,D002285
Uterine Leiomyosarcoma,1,Leiomyosarcoma,Leiomyomatosis,"Leiomyoma, Epithelioid",Uterine Cervical Neoplasms,Uterine Prolapse,D007890,D018231,D018230,D002583,D014596
Primary Leiomyosarcoma,1,Leiomyosarcoma,Leiomyomatosis,Primary Myelofibrosis,"Leiomyoma, Epithelioid",Hemangiosarcoma,D007890,D018231,D055728,D018230,D006394
Persistent Polyclonal B-Cell Lymphocytosis,1,Persistent Infection,"Leukemia, Lymphocytic, Chronic, B-Cell",Persistent Hyperplastic Primary Vitreous,Lymphocytosis,"Lymphoma, T-Cell, Peripheral",D000088562,D015451,D054514,D008218,D016411
Cardiac Hypertrophy,1,"Hypertrophy, Left Ventricular","Hypertrophy, Right Ventricular",Gingival Hypertrophy,Apical Hypertrophic Cardiomyopathy,Cardiotoxicity,D017379,D017380,D005886,D000092183,D066126
Ductal Breast Carcinoma,1,"Carcinoma, Ductal, Breast","Carcinoma, Pancreatic Ductal","Carcinoma, Lobular",Breast Carcinoma In Situ,Mammary Analogue Secretory Carcinoma,D018270,D021441,D018275,D000071960,D000069295
Pleomorphic Adenoma Carcinoma,1,"Adenoma, Pleomorphic","Carcinoma, Pancreatic Ductal",Nasopharyngeal Carcinoma,"Carcinoma, Papillary",Parathyroid Neoplasms,D008949,D021441,D000077274,D002291,D010282
Latent Autoimmune Diabetes In Adults,1,Latent Autoimmune Diabetes in Adults,"Syphilis, Latent",Latent Tuberculosis,Autoimmune Hypophysitis,Prediabetic State,D000071698,D013592,D055985,D000069281,D011236
Metastatic Colorectal Cancer,1,Neoplasm Micrometastasis,Lymphatic Metastasis,"Colorectal Neoplasms, Hereditary Nonpolyposis",Colonic Polyps,Sigmoid Neoplasms,D061206,D008207,D003123,D003111,D012811
5Q-Syndrome,1,Serotonin Syndrome,Jacobsen Distal 11q Deletion Syndrome,Middle Lobe Syndrome,Marfan Syndrome,Syndrome,D020230,D054868,D008878,D008382,D013577
Epithelial Ovarian Cancer,1,"Carcinoma, Ovarian Epithelial",Hereditary Breast and Ovarian Cancer Syndrome,"Carcinoma, Endometrioid",Eccrine Porocarcinoma,Peritoneal Neoplasms,D000077216,D061325,D018269,D057090,D010534
High Grade Glioblastoma,1,Glioblastoma,"Glioma, Subependymal",Ganglioglioma,Gliosarcoma,Diffuse Intrinsic Pontine Glioma,D005909,D018315,D018303,D018316,D000080443
Cutaneous Sarcoidosis,1,"Sarcoidosis, Pulmonary","Tuberculosis, Cutaneous",Cutaneous Fistula,"Syphilis, Cutaneous","Candidiasis, Cutaneous",D017565,D014382,D017577,D013591,D002179
Cushing Syndrome,1,Cushing Syndrome,Nelson Syndrome,Syndrome,Sezary Syndrome,"ACTH Syndrome, Ectopic",D003480,D009347,D013577,D012751,D000182
Malignant Peripheral Nerve Sheath Tumor,1,"Neuroectodermal Tumor, Melanotic",Spinal Neoplasms,Penile Neoplasms,Parotid Neoplasms,Paraneoplastic Polyneuropathy,D017600,D013125,D010412,D010307,D020364
Kufs Disease,1,Fraser Syndrome,Dent Disease,Frasier Syndrome,Hermanski-Pudlak Syndrome,Kounis Syndrome,D058497,D057973,D052159,D022861,D000074962
Sicca,1,Keratoconjunctivitis Sicca,Pica,CADASIL,Emaciation,Hiccup,D007638,D010842,D046589,D004614,D006606
Neurodevelopmental Disorder,1,Congenital Cranial Dysinnervation Disorders,Fetal Nutrition Disorders,Newcastle Disease,Child Nutrition Disorders,Borna Disease,D000093922,D048070,D009521,D015362,D001890
End-Stage Renal Disease,1,End Stage Liver Disease,Endarteritis,Diabetic Nephropathies,Chronic Kidney Diseases of Uncertain Etiology,Chronic Kidney Disease-Mineral and Bone Disorder,D058625,D004692,D003928,D000092702,D012080
Descending Thoracic Aorta Aneurysm,1,Descending Thoracic Aortic Aneurysm,"Aneurysm, Ascending Aorta","Aortic Aneurysm, Thoracoabdominal","Aneurysm, Aortic Arch",Aortic Root Aneurysm,D000094627,D000094625,D000094624,D000094626,D000094628
Dilated Cardiomyopathy;Heart Failure,1,"Cardiomyopathy, Dilated",Diabetic Cardiomyopathies,"Cardiomyopathy, Alcoholic","Heart Failure, Diastolic","Cardiomyopathy, Restrictive",D002311,D058065,D002310,D054144,D002313
Pterygium,1,Pterygium,Hyperekplexia,Polypoidal Choroidal Vasculopathy,Polymyalgia Rheumatica,Ecthyma,D011625,D000071017,D000092342,D011111,D004473
Dementia With Lewy Bodies,1,Lewy Body Disease,Synucleinopathies,"Dementia, Vascular",Alzheimer Disease,Diffuse Neurofibrillary Tangles with Calcification,D020961,D000080874,D015140,D000544,D055956
Muckle-Wells Syndrome,1,Mucocutaneous Lymph Node Syndrome,Kluver-Bucy Syndrome,Mucocele,Klippel-Feil Syndrome,Klippel-Trenaunay-Weber Syndrome,D009080,D020232,D009078,D007714,D007715
IgG4-Related Disease,1,Immunoglobulin G4-Related Disease,"Lymphoma, AIDS-Related",Scheuermann Disease,Hashimoto Disease,Refsum Disease,D000077733,D016483,D012544,D050031,D012035
Primary Immunoglobulin A Nephropathy (Disorder),1,"Glomerulonephritis, IGA",Immunoglobulin G4-Related Disease,Primary Graft Dysfunction,"Glomerulonephritis, Membranoproliferative","Hyperoxaluria, Primary",D005922,D000077733,D055031,D015432,D006960
Mucinous Carcinoma,1,"Cystadenocarcinoma, Mucinous","Cystadenoma, Mucinous","Carcinoma, Mucoepidermoid",Mammary Analogue Secretory Carcinoma,"Carcinoma, Medullary",D018282,D018291,D018277,D000069295,D018276
Hemorrhagic Fever With Renal Syndrome,1,Hemorrhagic Fever with Renal Syndrome,"Hemorrhagic Fever, American","Hemorrhagic Fever, Crimean","Hemorrhagic Fever, Ebola","Hemorrhagic Septicemia, Viral",D006480,D006478,D006479,D019142,D031941
CTBP1 Mutations,1,Carbamoyl-Phosphate Synthase I Deficiency Disease,Cone Dystrophy,Dental Enamel Hypoplasia,Trichothiodystrophy Syndromes,Protein C Deficiency,D020165,D000077765,D003744,D054463,D020151
Food Allergy,1,Food Intolerance,Dust Mite Allergy,Peanut Hypersensitivity,Anaphylaxis,Egg Hypersensitivity,D000073923,D000092542,D021183,D000707,D021181
B-Cell Chronic Lymphocytic Leukemia,1,"Leukemia, Lymphocytic, Chronic, B-Cell",Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,"Leukemia, Neutrophilic, Chronic","Leukemia, Myelomonocytic, Chronic","Leukemia, Myeloid, Chronic-Phase",D015451,D015452,D015467,D015477,D015466
Acromegaly,1,Acromegaly,Acrodynia,Acrodermatitis,Acrocephalosyndactylia,Growth Hormone-Secreting Pituitary Adenoma,D000172,D000170,D000169,D000168,D049912
Disrupted-In-Schizophrenia-1,1,"Dyskinesia, Drug-Induced",Dysbiosis,Locked-In Syndrome,Cryopyrin-Associated Periodic Syndromes,Dysgerminoma,D004409,D064806,D000080422,D056587,D004407
Echinococcosis,1,"Echinococcosis, Pulmonary","Echinococcosis, Hepatic",Endometriosis,Encephalocele,Sporotrichosis,D004445,D004444,D004715,D004677,D013174
High Grade Serous Carcinoma,1,"Cystadenocarcinoma, Serous","Carcinoma, Endometrioid","Carcinoma, Ovarian Epithelial","Cystadenoma, Serous","Carcinoma, Adenoid Cystic",D018284,D018269,D000077216,D018293,D003528
Tay-Sachs Disease,1,Tay-Sachs Disease,"Tay-Sachs Disease, AB Variant",Rubinstein-Taybi Syndrome,Huntington Disease,Hemoglobin SC Disease,D013661,D049290,D012415,D006816,D006450
Tay-Sachs Disease; Juvenile,1,Tay-Sachs Disease,"Tay-Sachs Disease, AB Variant","Spherocytosis, Hereditary","Myoclonic Epilepsy, Juvenile",Rubinstein-Taybi Syndrome,D013661,D049290,D013103,D020190,D012415
Chagas Disease,1,Chagas Cardiomyopathy,Caroli Disease,Celiac Disease,Canavan Disease,Tangier Disease,D002598,D016767,D002446,D017825,D013631
Radiologically Isolated Syndrom,1,Isolated Systolic Hypertension,Rumination Syndrome,Rubinstein-Taybi Syndrome,"Rubella Syndrome, Congenital",Renal Nutcracker Syndrome,D000092244,D000079562,D012415,D012410,D059228
High Grade Ovarian Serous Carcinoma,1,"Carcinoma, Ovarian Epithelial","Cystadenocarcinoma, Serous","Carcinoma, Endometrioid","Cystadenoma, Serous",Uterine Cervical Neoplasms,D000077216,D018284,D018269,D018293,D002583
Ossification of Ligamentun Flavum(Olf),1,Ossification of Posterior Longitudinal Ligament,"Fibroma, Ossifying",Osteitis,"Osteoma, Osteoid",Osteochondritis,D017887,D018214,D010000,D010017,D010007
Chilblains,1,Chilblains,Chills,Hemobilia,Chikungunya Fever,Lymphocytic Choriomeningitis,D002647,D023341,D006431,D065632,D008216
Septicemia,1,Hemorrhagic Septicemia,"Shock, Septic","Hemorrhagic Septicemia, Viral","Abortion, Septic",Neonatal Sepsis,D006483,D012772,D031941,D000031,D000071074
Recurrent Implantation Failure,1,Prosthesis-Related Infections,Failure to Thrive,Reinfection,Shoulder Dislocation,Failed Back Surgery Syndrome,D016459,D005183,D000084063,D012783,D055111
Acute Decompensation,1,Acute Disease,"Abdomen, Acute",Acute-On-Chronic Liver Failure,Acute Coronary Syndrome,Acute Pain,D000208,D000006,D065290,D054058,D059787
Meckel Syndrome,1,Meconium Aspiration Syndrome,Meckel Diverticulum,Syndrome,Marfan Syndrome,Mobius Syndrome,D008471,D008467,D013577,D008382,D020331
Dilated Cardiomyopathy With Ataxia,1,"Cardiomyopathy, Dilated",Cerebellar Ataxia,Gait Ataxia,Diabetic Cardiomyopathies,"Cardiomyopathy, Alcoholic",D002311,D002524,D020234,D058065,D002310
Alport Syndrome,1,Liddle Syndrome,HELLP Syndrome,LEOPARD Syndrome,Klippel-Feil Syndrome,Zellweger Syndrome,D056929,D017359,D044542,D007714,D015211
Chronic Atrophic Gastritis,1,"Gastritis, Atrophic",Atrophic Vaginitis,"Rhinitis, Atrophic","Gastritis, Hypertrophic",Chronic Periodontitis,D005757,D059268,D012222,D005758,D055113
Early Gastric Cancer,1,Stomach Neoplasms,Gastrointestinal Stromal Tumors,Gastrinoma,Gallbladder Neoplasms,Gastric Antral Vascular Ectasia,D013274,D046152,D015408,D005706,D020252
Acute Megakaryoblastic Leukemia,1,"Leukemia, Megakaryoblastic, Acute","Leukemia, Monocytic, Acute","Leukemia, Basophilic, Acute","Leukemia, Myelomonocytic, Acute","Leukemia, Eosinophilic, Acute",D007947,D007948,D015471,D015479,D015472
